CDD_ID_A,CDD_ID_D,CDD_ID_DATE,APPELLAN,APPELANT TYPE,APPELLEE,APPELEE TYPE,,
5-42-9600097,NA,5-42-9600097-1996-08-26,UNITED,FED,SIERRA,NGO,,UNITED v. SIERRA
10-82-0401317,NA,10-82-0401317-1996-11-19,UNITED ET AL,FED,TROUT ET AL,NGO,,UNITED ET AL v. TROUT ET AL
9-77-1900044,NA,9-77-1900044-2019-07-01,UNITED STATES ARMY C,FED,NORTHERN PLAINS RESO,NGO,,UNITED STATES ARMY C v. NORTHERN PLAINS RESO
9-79-1800437,NA,9-79-1800437-2018-03-13,UNITED STATES ARMY C,FED,NORTHWEST ENVIRONMEN,NGO,,UNITED STATES ARMY C v. NORTHWEST ENVIRONMEN
5-41-1103063,NA,5-41-1103063-2012-08-22,UNITED STATES ARMY C,FED,SIERRA CLUB,NGO,,UNITED STATES ARMY C v. SIERRA CLUB
4-17-2000075,NA,4-17-2000075-2020-11-16,UNITED STATES FISH A,FED,RED WOLF COALITION,NGO,,UNITED STATES FISH A v. RED WOLF COALITION
9-76-2100244,NA,9-76-2100244-2021-06-07,UNITED STATES FOREST,FED,ALLIANCE FOR THE WIL,NGO,,UNITED STATES FOREST v. ALLIANCE FOR THE WIL
9-79-0000775,NA,9-79-0000775-2000-06-05,USFS,FED,HELLS ET AL,NGO,,USFS v. HELLS ET AL
9-77-9000076,NA,9-77-9000076-1993-02-09,USFS ET AL,FED,FRIENDS ET AL,NGO,,USFS ET AL v. FRIENDS ET AL
4-17-0400002,NA,4-17-0400002-2005-02-18,DEPT ET AL,FED,NATL ET AL,OTHER,,DEPT ET AL v. NATL ET AL
0-90-9900726,NA,0-90-9900726-1995-04-17,ENV ET AL,FED,BLDG ET AL,OTHER,,ENV ET AL v. BLDG ET AL
9-71-9803740,NA,9-71-9803740-1998-09-29,ENVIRONMENTAL,FED,SIMPSON ET AL,OTHER,,ENVIRONMENTAL v. SIMPSON ET AL
9-72-8501802,NA,9-72-8501802-1985-12-31,REILLY,FED,SACRAMENTO ET,OTHER,,REILLY v. SACRAMENTO ET
9-71-9902992,NA,9-71-9902992-1999-06-17,UNITED ET AL,FED,SOUTHWEST ET A,OTHER,,UNITED ET AL v. SOUTHWEST ET A
6-46-9700138,NA,6-46-9700138-1987-03-31,USA ET AL,FED,PPP,OTHER,,USA ET AL v. PPP
9-78-7300128,NA,9-78-7300128-1995-01-03,UNITED STATES OF AME,FED,WALKER RIVER IRRIGAT,PUB_ORG,,UNITED STATES OF AME v. WALKER RIVER IRRIGAT
9-76-1100358,NA,9-76-1100358-2009-11-16,SALAZAR,FED,OTTER,STA,,SALAZAR v. OTTER
8-67-0303059,NA,8-67-0303059-2003-12-14,U.S.,FED,NE ET AL,STA,,U.S. v. NE ET AL
0-90-1702487,NA,0-90-1702487-2017-11-15,UNITED STATES OF AME,FED,GOVERNMENT OF GUAM,STA,,UNITED STATES OF AME v. GOVERNMENT OF GUAM
0-90-1702487,NA,0-90-1702487-2017-11-15,UNITED STATES OF AME,FED,GOVERNMENT OF GUAM,STA,,UNITED STATES OF AME v. GOVERNMENT OF GUAM
9-72-1900547,NA,9-72-1900547-2019-03-28,UNITED STATES OF AME,FED,STATE WATER RESOURCE,STA,,UNITED STATES OF AME v. STATE WATER RESOURCE
9-81-8900583,NA,9-81-8900583-1989-11-14,USA ET AL,FED,STATE,STA,,USA ET AL v. STATE
9-81-8701797,NA,9-81-8701797-1987-12-15,U.S.,FED,PILCHUK ET AL,TRIBE,,U.S. v. PILCHUK ET AL
1-02-0600258,NA,1-02-0600258-2006-07-13,BLAKENEY,IND,CONCORD HOSPITAL,BIZ,,BLAKENEY v. CONCORD HOSPITAL
8-64-0301555,NA,8-64-0301555-2003-07-24,BLASKE ET AL,IND,AMERICAN ET AL,BIZ,,BLASKE ET AL v. AMERICAN ET AL
5-36-9404000,NA,5-36-9404000-1994-07-02,CARTER ET AL,IND,JUNEAU,BIZ,,CARTER ET AL v. JUNEAU
5-36-9404000,NA,5-36-9404000-1994-07-02,GUNTER ET AL,IND,JUNEAU,BIZ,,GUNTER ET AL v. JUNEAU
0-90-7801712,NA,0-90-7801712-1978-09-12,JOHN O. MARSH ET,FED,MONONGAHELA PO,BIZ,,JOHN O. MARSH ET v. MONONGAHELA PO
1-01-8701786,NA,1-01-8701786-1988-08-03,KINGSTON,BIZ,CANNONS ENG,BIZ,,KINGSTON v. CANNONS ENG
5-36-9404000,NA,5-36-9404000-1994-07-02,RILEY,IND,JUNEAU,BIZ,,RILEY v. JUNEAU
5-36-9404000,NA,5-36-9404000-1994-07-02,TALLEY ET AL,IND,JUNEAU,BIZ,,TALLEY ET AL v. JUNEAU
9-72-0500629,NA,9-72-0500629-2005-03-20,TSAKAPOULOUS ET,BIZ,HOME ET AL,BIZ,,TSAKAPOULOUS ET v. HOME ET AL
7-55-8900113,NA,7-55-8900113-1998-03-06,ACCRA,IND,USA,FED,,ACCRA v. USA
9-78-7300031,NA,9-78-7300031-1993-01-28,ALVES,IND,UNITED STATES OF AME,FED,,ALVES v. UNITED STATES OF AME
9-79-0400109,NA,9-79-0400109-2004-01-23,BARGAS,IND,ASTRUE,FED,,BARGAS v. ASTRUE
9-79-0403045,NA,9-79-0403045-2004-05-24,BELL-SHIER,IND,COMMISSIONER OF THE,FED,,BELL-SHIER v. COMMISSIONER OF THE
9-76-1100127,NA,9-76-1100127-2011-03-29,BLUM,IND,UNITED STATES OF AME,FED,,BLUM v. UNITED STATES OF AME
9-76-1100127,NA,9-76-1100127-2011-03-29,BLUM REAL ESTATE TRU,IND,UNITED STATES OF AME,FED,,BLUM REAL ESTATE TRU v. UNITED STATES OF AME
3-15-9300025,NA,3-15-9300025-1993-08-24,BOLL ET AL,IND,COMM ET AL,FED,,BOLL ET AL v. COMM ET AL
3-15-1700006,NA,3-15-1700006-2017-01-09,BRACE,IND,UNITED STATES OF AME,FED,,BRACE v. UNITED STATES OF AME
6-44-8400173,NA,6-44-8400173-1984-08-23,CARR,IND,USA ET AL,FED,,CARR v. USA ET AL
9-71-9917208,NA,9-71-9917208-1994-03-25,CHAPMAN,IND,USA,FED,,CHAPMAN v. USA
9-78-9500724,NA,9-78-9500724-1995-12-05,CHURCHILL ET AL,IND,BABBIT ET AL,FED,,CHURCHILL ET AL v. BABBIT ET AL
8-64-0202528,NA,8-64-0202528-2005-10-31,CONTOSKI,IND,KEMPTHORNE,FED,,CONTOSKI v. KEMPTHORNE
6-43-8200389,NA,6-43-8200389-1982-10-20,CRAFT,IND,USA ET AL,FED,,CRAFT v. USA ET AL
9-7--0700003,NA,9-7--0700003-2007-03-05,CYSEWSKI,IND,ASTRUE,FED,,CYSEWSKI v. ASTRUE
10-87-8601401,NA,10-87-8601401-1986-07-05,DE,IND,USA ET AL,FED,,DE v. USA ET AL
9-74-9000051,NA,9-74-9000051-1990-01-30,DUMAS,IND,USA,FED,,DUMAS v. USA
9-74-9000052,NA,9-74-9000052-1990-01-30,DUMAS,IND,USA,FED,,DUMAS v. USA
3-12-9705791,NA,3-12-9705791-1996-12-16,FERNANDES,IND,EPA ET AL,FED,,FERNANDES v. EPA ET AL
8-65-9200078,NA,8-65-9200078-1992-07-02,FLANDERS,IND,USA ET AL,FED,,FLANDERS v. USA ET AL
8-65-9200088,NA,8-65-9200088-1992-07-02,FLANDERS ET AL,IND,USA ET AL,FED,,FLANDERS ET AL v. USA ET AL
9-78-9400795,NA,9-78-9400795-1994-08-15,FROST,IND,PERRY ET AL,FED,,FROST v. PERRY ET AL
9-74-9000174,NA,9-74-9000174-1990-03-13,GALLERSTEIN,IND,USA,FED,,GALLERSTEIN v. USA
1-01-8502463,NA,1-01-8502463-1985-01-01,GEORGE,IND,UNITED,FED,,GEORGE v. UNITED
9-77-9600081,NA,9-77-9600081-1996-11-08,GREATER ET AL,IND,BABBITT ET AL,FED,,GREATER ET AL v. BABBITT ET AL
9-81-0105339,NA,9-81-0105339-2001-06-22,GROUND ET AL,IND,US ET AL,FED,,GROUND ET AL v. US ET AL
10-87-8601402,NA,10-87-8601402-1986-06-25,HARDAGE,IND,USA ET AL,FED,,HARDAGE v. USA ET AL
9-79-9800622,NA,9-79-9800622-1999-05-19,HELLS ET AL,IND,U.S. ET AL,FED,,HELLS ET AL v. U.S. ET AL
9-72-0202505,NA,9-72-0202505-2002-11-04,HENDRICKSON ET A,IND,USA ET AL,FED,,HENDRICKSON ET A v. USA ET AL
9-71-9802434,NA,9-71-9802434-1999-02-01,HOBBS ET AL,IND,SPRAGUE ET AL,FED,,HOBBS ET AL v. SPRAGUE ET AL
4-24-9503056,NA,4-24-9503056-1994-10-12,HUGHES ET AL,IND,JOHNSON ET AL,FED,,HUGHES ET AL v. JOHNSON ET AL
7-52-9205354,NA,7-52-9205354-1996-08-07,KRILICH,IND,USA ET AL,FED,,KRILICH v. USA ET AL
9-78-7300125,NA,9-78-7300125-1984-05-21,LANDOLT,IND,UNITED STATES BOARD,FED,,LANDOLT v. UNITED STATES BOARD
9-78-7300127,NA,9-78-7300127-1973-03-01,LANDOLT ET AL,IND,USA ET AL,FED,,LANDOLT ET AL v. USA ET AL
8-69-8505097,NA,8-69-8505097-1985-06-10,"LEGS, TAYLOR WAL",IND,UNITED STATES,FED,,"LEGS, TAYLOR WAL v. UNITED STATES"
10-86-2000423,NA,10-86-2000423-2020-11-19,LEO,IND,UNITED STATES OF AME,FED,,LEO v. UNITED STATES OF AME
10-87-8601402,NA,10-87-8601402-1986-06-25,LOWE,IND,USA ET AL,FED,,LOWE v. USA ET AL
1-04-9101129,NA,1-04-9101129-1991-01-29,MATOS,IND,SHHS,FED,,MATOS v. SHHS
9-77-0600099,NA,9-77-0600099-2006-11-01,MCCALMON,IND,ASTRUE,FED,,MCCALMON v. ASTRUE
9-81-9805289,NA,9-81-9805289-1998-06-01,METCALF ET AL,IND,DALEY ET AL,FED,,METCALF ET AL v. DALEY ET AL
9-79-8900136,NA,9-79-8900136-1989-05-30,NUDO ET AL,IND,USA,FED,,NUDO ET AL v. USA
2-08-7201964,NA,2-08-7201964-1972-05-09,O'ROURKE,IND,USA ET AL,FED,,O'ROURKE v. USA ET AL
8-61-9006014,NA,8-61-9006014-1990-02-15,OHLFS ETAL,IND,LUJAN ETAL,FED,,OHLFS ETAL v. LUJAN ETAL
9-79-1000642,NA,9-79-1000642-2010-12-30,OLENEC,IND,NATIONAL MARINE FISH,FED,,OLENEC v. NATIONAL MARINE FISH
9-80-9103015,NA,9-80-9103015-1991-02-06,ORESKOVICH ET AL,IND,USDC-WAE ET AL,FED,,ORESKOVICH ET AL v. USDC-WAE ET AL
3-13-0203565,NA,3-13-0203565-1999-08-11,RAYMOND ET AL,IND,US ET AL,FED,,RAYMOND ET AL v. US ET AL
1-01-8902228,NA,1-01-8902228-1989-10-10,REARDON,IND,E.P.A.,FED,,REARDON v. E.P.A.
9-73-9502645,NA,9-73-9502645-1995-04-25,RILEY,IND,USA ET AL,FED,,RILEY v. USA ET AL
3-12-8504386,NA,3-12-8504386-1985-09-01,ROHM,IND,USA ET AL,FED,,ROHM v. USA ET AL
5-42-9300194,NA,5-42-9300194-1993-04-15,SCOTT,IND,"SHALALA,ET AL",FED,,"SCOTT v. SHALALA,ET AL"
3-15-8001172,NA,3-15-8001172-1980-08-20,SHENANGO,IND,USA,FED,,SHENANGO v. USA
9-71-9720009,NA,9-71-9720009-1997-01-30,SILVERWOOD ET AL,IND,USA ET AL,FED,,SILVERWOOD ET AL v. USA ET AL
5-41-0300001,NA,5-41-0300001-2003-01-06,SPRINGER ET AL,IND,US,FED,,SPRINGER ET AL v. US
3-12-9204710,NA,3-12-9204710-1992-11-04,STEPAN,IND,USA ET AL,FED,,STEPAN v. USA ET AL
2-09-9406118,NA,2-09-9406118-1994-02-14,SUTTON ET AL,IND,DOT ET AL,FED,,SUTTON ET AL v. DOT ET AL
9-76-9300035,NA,9-76-9300035-1993-09-17,SWANSON ET AL,IND,USFS,FED,,SWANSON ET AL v. USFS
7-52-9303595,NA,7-52-9303595-1993-06-16,TANNENBAUM,IND,USA ET AL,FED,,TANNENBAUM v. USA ET AL
4-25-0200092,NA,4-25-0200092-2002-08-27,TRACY,IND,US,FED,,TRACY v. US
8-67-9400188,NA,8-67-9400188-1994-03-15,TYLER ET AL,IND,USA ET AL,FED,,TYLER ET AL v. USA ET AL
8-60-8000110,NA,8-60-8000110-1980-03-04,VERTAC ET AL,IND,USA ET AL,FED,,VERTAC ET AL v. USA ET AL
9-76-0300017,NA,9-76-0300017-2003-01-14,WEISS,IND,UNITED STATES OF AME,FED,,WEISS v. UNITED STATES OF AME
9-81-0001010,NA,9-81-0001010-2000-06-14,DIERKER ET AL,IND,COLE ET AL,LOC,,DIERKER ET AL v. COLE ET AL
5-41-7800188,NA,5-41-7800188-1978-08-17,FRITIOFSEN,IND,ALEXANDER,IND,,FRITIOFSEN v. ALEXANDER
9-78-0300477,NA,9-78-0300477-2003-06-02,HALL,FED,BELLARD ET AL,IND,,HALL v. BELLARD ET AL
9-78-9400795,NA,9-78-9400795-1994-09-19,KASZA,IND,BROWNER,FED,,KASZA v. BROWNER
9-70-0000581,NA,9-70-0000581-2000-03-31,NORTON ET AL,IND,BARNES ET AL,IND,,NORTON ET AL v. BARNES ET AL
4-24-9900094,NA,4-24-9900094-1988-10-24,RAYLE ET AL,IND,DIVISION ET AL,OTHER,,RAYLE ET AL v. DIVISION ET AL
1-02-9401301,NA,1-02-9401301-1995-01-30,WOODS ET AL,IND,DUBOIS,IND,,WOODS ET AL v. DUBOIS
9-7--8800025,NA,9-7--8800025-1986-09-29,HANLON ET AL,IND,CITY ET AL,LOC,,HANLON ET AL v. CITY ET AL
9-71-8600338,NA,9-71-8600338-1986-06-17,AHLGREN ET AL,IND,SIERRA ET AL,NGO,,AHLGREN ET AL v. SIERRA ET AL
10-88-8700120,NA,10-88-8700120-1987-02-18,GARFIELD ET AL,IND,SIERRA ET AL,NGO,,GARFIELD ET AL v. SIERRA ET AL
9-72-1802785,NA,9-72-1802785-2018-10-16,GRANTHAM,IND,KLAMATH-SISKIYOU WIL,NGO,,GRANTHAM v. KLAMATH-SISKIYOU WIL
9-77-1300061,NA,9-77-1300061-2013-03-18,JEWELL,IND,FRIENDS OF THE WILD,NGO,,JEWELL v. FRIENDS OF THE WILD
10-82-8400002,NA,10-82-8400002-1984-01-03,LYNG,IND,SIERRA ET AL,NGO,,LYNG v. SIERRA ET AL
9-77-2000156,NA,9-77-2000156-2020-10-23,MARTEN,IND,ALLIANCE FOR THE WIL,NGO,,MARTEN v. ALLIANCE FOR THE WIL
9-81-1101759,NA,9-81-1101759-2011-10-21,MCLERRAN,IND,SIERRA CLUB,NGO,,MCLERRAN v. SIERRA CLUB
9-71-1105651,NA,9-71-1105651-2011-11-22,MYERS,IND,WILDEARTH GUARDIANS,NGO,,MYERS v. WILDEARTH GUARDIANS
9-71-0509991,NA,9-71-0509991-2005-03-09,NORTON,IND,LEAGUE FOR COASTAL P,NGO,,NORTON v. LEAGUE FOR COASTAL P
6-49-9200036,NA,6-49-9200036-1992-01-17,O'LEARY ET AL,IND,FRIENDS ET AL,NGO,,O'LEARY ET AL v. FRIENDS ET AL
9-79-9406245,NA,9-79-9406245-1995-06-14,OGLE ET AL,IND,SIERRA,NGO,,OGLE ET AL v. SIERRA
9-72-0500205,NA,9-72-0500205-2005-01-21,SHERMAN,IND,SIERRA FOREST LEGACY,NGO,,SHERMAN v. SIERRA FOREST LEGACY
9-71-8803384,NA,9-71-8803384-1986-06-17,TRAN ET AL,IND,SIERRA ET AL,NGO,,TRAN ET AL v. SIERRA ET AL
11-3C-9200637,NA,11-3C-9200637-1992-04-23,"BEN-ARI, JACOB",IND,NA,OTHER,,"BEN-ARI, JACOB v. NA"
2-08-8803242,NA,2-08-8803242-1988-05-10,BROOKS,IND,NA,OTHER,,BROOKS v. NA
5-36-9404000,NA,5-36-9404000-1986-07-05,CARRINGTON,IND,UNKNOWN,OTHER,,CARRINGTON v. UNKNOWN
5-36-9404000,NA,5-36-9404000-1986-07-05,COGLEY,IND,UNKNOWN,OTHER,,COGLEY v. UNKNOWN
5-36-9404000,NA,5-36-9404000-1986-07-05,DAY,IND,UNKNOWN,OTHER,,DAY v. UNKNOWN
5-36-9404000,NA,5-36-9404000-1994-07-02,HOLMES,IND,PLAINTIFFS',OTHER,,HOLMES v. PLAINTIFFS'
5-36-9404000,NA,5-36-9404000-1994-07-02,HOLMES ET AL,IND,PLAINTIFFS',OTHER,,HOLMES ET AL v. PLAINTIFFS'
5-36-9404000,NA,5-36-9404000-1986-07-05,HOWELL,IND,UNKNOWN,OTHER,,HOWELL v. UNKNOWN
5-36-9404000,NA,5-36-9404000-1986-07-05,JOHNSON,IND,UNKNOWN,OTHER,,JOHNSON v. UNKNOWN
9-7--8900376,NA,9-7--8900376-1988-03-07,KEE ET AL,IND,THE,OTHER,,KEE ET AL v. THE
10-84-9901320,NA,10-84-9901320-1999-11-15,KEYS ET AL,IND,RIO ET AL,OTHER,,KEYS ET AL v. RIO ET AL
10-84-9901320,NA,10-84-9901320-1999-11-15,KEYS ET AL,IND,RIO ET AL,OTHER,,KEYS ET AL v. RIO ET AL
10-84-9901320,NA,10-84-9901320-1999-11-15,MIDDLE ET AL,IND,RIO ET AL,OTHER,,MIDDLE ET AL v. RIO ET AL
10-84-9901320,NA,10-84-9901320-1999-11-15,MIDDLE ET AL,IND,RIO ET AL,OTHER,,MIDDLE ET AL v. RIO ET AL
5-36-9404000,NA,5-36-9404000-1986-07-05,RAY,IND,UNKNOWN,OTHER,,RAY v. UNKNOWN
5-36-9404000,NA,5-36-9404000-1994-07-02,SMITH ET AL,IND,PLAINTIFFS',OTHER,,SMITH ET AL v. PLAINTIFFS'
5-36-9404000,NA,5-36-9404000-1994-07-02,TALLEY ET AL,IND,PLAINTIFFS',OTHER,,TALLEY ET AL v. PLAINTIFFS'
5-36-9404000,NA,5-36-9404000-1997-07-02,TESSIER,IND,PLAINTIFFS',OTHER,,TESSIER v. PLAINTIFFS'
5-36-9404000,NA,5-36-9404000-1986-07-05,TESSIER,IND,UNKNOWN,OTHER,,TESSIER v. UNKNOWN
5-36-9404000,NA,5-36-9404000-1994-07-02,THIBODAUX ET AL,IND,PLAINTIFFS',OTHER,,THIBODAUX ET AL v. PLAINTIFFS'
5-36-9404000,NA,5-36-9404000-1986-07-05,WATSON,IND,UNKNOWN,OTHER,,WATSON v. UNKNOWN
1-01-8500489,NA,1-01-8500489-1985-01-31,NAHANT,IND,MDC,PUB_ORG,,NAHANT v. MDC
3-12-9705697,NA,3-12-9705697-1996-06-27,HAIN,IND,NJ ET AL,STA,,HAIN v. NJ ET AL
9-76-8304179,NA,9-76-8304179-1983-12-12,M.A. ET AL,IND,STATE ET AL,STA,,M.A. ET AL v. STATE ET AL
8-69-0202133,NA,8-69-0202133-2002-04-25,UBBELOHDE ET AL,IND,STATE ET AL,STA,,UBBELOHDE ET AL v. STATE ET AL
9-71-9703779,NA,9-71-9703779-1997-10-15,WILLIAMS ET AL,IND,CALIFORNIA ET,STA,,WILLIAMS ET AL v. CALIFORNIA ET
9-78-7300125,NA,9-78-7300125-1984-05-21,MINERAL COUNTY,LOC,"BALE COUNTER, INC.",BIZ,,"MINERAL COUNTY v. BALE COUNTER, INC."
9-78-8900034,NA,9-78-8900034-1988-10-17,CITY,LOC,USA ET AL,FED,,CITY v. USA ET AL
5-39-8602908,NA,5-39-8602908-1986-11-21,CITY SOUTHLAKE,LOC,FAA ETAL,FED,,CITY SOUTHLAKE v. FAA ETAL
6-46-8900503,NA,6-46-8900503-1989-10-16,CORDOVA,LOC,USA ET AL,FED,,CORDOVA v. USA ET AL
2-07-9006146,NA,2-07-9006146-1989-08-01,COUNTY ET AL,LOC,USA,FED,,COUNTY ET AL v. USA
8-64-9400154,NA,8-64-9400154-1994-12-05,CTY. ET AL,LOC,DOMBECK ET AL,FED,,CTY. ET AL v. DOMBECK ET AL
5-38-1900986,NA,5-38-1900986-2019-12-23,"HARRISON COUNTY, MIS",LOC,UNITED STATES ARMY C,FED,,"HARRISON COUNTY, MIS v. UNITED STATES ARMY C"
9-74-9602580,NA,9-74-9602580-1996-04-11,HOLLYWOOD ET AL,LOC,U.S. ET AL,FED,,HOLLYWOOD ET AL v. U.S. ET AL
8-60-1900362,NA,8-60-1900362-2019-05-20,LITTLE ROCK DOWNTOWN,LOC,FEDERAL HIGHWAY ADMI,FED,,LITTLE ROCK DOWNTOWN v. FEDERAL HIGHWAY ADMI
6-44-7800130,NA,6-44-7800130-1978-04-07,LOUISVILLE,LOC,USA ET AL,FED,,LOUISVILLE v. USA ET AL
9-7--8900503,NA,9-7--8900503-1989-12-21,MUNICIPALITY ET,LOC,USA ET AL,FED,,MUNICIPALITY ET v. USA ET AL
1-01-9011286,NA,1-01-9011286-1990-04-30,NORFOLK,LOC,EPA,FED,,NORFOLK v. EPA
9-79-8701160,NA,9-79-8701160-1987-01-12,PORTLAND,LOC,LUJAN ET AL,FED,,PORTLAND v. LUJAN ET AL
4-17-8400036,NA,4-17-8400036-1984-01-12,ROANOKE ET AL,LOC,HUDSON ET AL,FED,,ROANOKE ET AL v. HUDSON ET AL
4-17-8400036,NA,4-17-8400036-1984-01-12,ROANOKE ET AL,LOC,HUDSON ET AL,FED,,ROANOKE ET AL v. HUDSON ET AL
9-72-9000361,NA,9-72-9000361-1993-03-23,SANTA,LOC,USA ET AL,FED,,SANTA v. USA ET AL
9-79-0100882,NA,9-79-0100882-2001-06-12,TILLAMOOK ET AL,LOC,US,FED,,TILLAMOOK ET AL v. US
10-88-1700482,NA,10-88-1700482-2017-05-30,UNITED PARK CITY MIN,LOC,UNITED STATES OF AME,FED,,UNITED PARK CITY MIN v. UNITED STATES OF AME
2-08-9007935,NA,2-08-9007935-1990-12-12,VIL. ET AL,LOC,SKINNER ET AL,FED,,VIL. ET AL v. SKINNER ET AL
8-64-8700648,NA,8-64-8700648-1987-07-17,CITY PRESTON ETA,LOC,KALITOWSKI,IND,,CITY PRESTON ETA v. KALITOWSKI
10-87-8801032,NA,10-87-8801032-1988-12-01,VILL OF LOS RANC,LOC,HEIBERT,IND,,VILL OF LOS RANC v. HEIBERT
9-78-7300128,NA,9-78-7300128-1995-01-03,MINERAL COUNTY,LOC,MONO COUNTY,LOC,,MINERAL COUNTY v. MONO COUNTY
5-42-9600097,NA,5-42-9600097-1996-08-26,BEXAR,LOC,SIERRA ET AL,NGO,,BEXAR v. SIERRA ET AL
5-42-9600097,NA,5-42-9600097-1996-08-26,CITY,LOC,SIERRA ET AL,NGO,,CITY v. SIERRA ET AL
11-3C-9010037,NA,11-3C-9010037-1990-04-20,MONROE COUNTY,LOC,FLORIDA KEY DEE,NGO,,MONROE COUNTY v. FLORIDA KEY DEE
5-42-9600097,NA,5-42-9600097-1996-08-26,REDLAND,LOC,SIERRA,NGO,,REDLAND v. SIERRA
9-81-1101759,NA,9-81-1101759-2011-10-21,SPOKANE COUNTY,LOC,SIERRA CLUB,NGO,,SPOKANE COUNTY v. SIERRA CLUB
10-84-9901320,NA,10-84-9901320-1999-11-15,CITY ET AL,LOC,RIO ET AL,OTHER,,CITY ET AL v. RIO ET AL
10-84-9901320,NA,10-84-9901320-1999-11-15,CITY ET AL,LOC,RIO ET AL,OTHER,,CITY ET AL v. RIO ET AL
10-84-9901320,NA,10-84-9901320-1999-11-15,CITY ET AL,LOC,RIO ET AL,OTHER,,CITY ET AL v. RIO ET AL
11-3C-8801886,NA,11-3C-8801886-1988-10-11,CITY OF BELLE GL,LOC,NA,OTHER,,CITY OF BELLE GL v. NA
11-3C-8801886,NA,11-3C-8801886-1988-10-11,CITY OF CLEWISTO,LOC,NA,OTHER,,CITY OF CLEWISTO v. NA
8-65-8500200,NA,8-65-8500200-1984-01-20,CITY OF EUREKA,LOC,NA,OTHER,,CITY OF EUREKA v. NA
10-84-9901320,NA,10-84-9901320-1999-11-15,RIO ET AL,LOC,RIO ET AL,OTHER,,RIO ET AL v. RIO ET AL
5-36-9404000,NA,5-36-9404000-1994-07-02,VAIL ET AL,LOC,PLAINTIFFS',OTHER,,VAIL ET AL v. PLAINTIFFS'
11-3C-8801886,NA,11-3C-8801886-1988-10-11,WEST PALM BEACH,LOC,NA,OTHER,,WEST PALM BEACH v. NA
11-3C-8801886,NA,11-3C-8801886-1988-10-11,WEST PALM BEACH,LOC,NA,OTHER,,WEST PALM BEACH v. NA
11-3C-8801886,NA,11-3C-8801886-1988-10-11,WESTERN PALM BEA,LOC,NA,OTHER,,WESTERN PALM BEA v. NA
1-01-8500489,NA,1-01-8500489-1985-01-31,COHASSET SCITUAT,LOC,MDC,PUB_ORG,,COHASSET SCITUAT v. MDC
9-78-7300128,NA,9-78-7300128-1995-01-03,MINERAL COUNTY,LOC,WALKER RIVER IRRIGAT,PUB_ORG,,MINERAL COUNTY v. WALKER RIVER IRRIGAT
1-01-8500489,NA,1-01-8500489-1985-01-31,NORFOLK,LOC,"MDC, ET AL",PUB_ORG,,"NORFOLK v. MDC, ET AL"
8-65-9000656,NA,8-65-9000656-1983-11-23,ST. ET AL,LOC,STATE ET AL,STA,,ST. ET AL v. STATE ET AL
9-79-1900564,NA,9-79-1900564-2019-04-16,COLUMBIA RIVERKEEPER,NGO,OREGON CATTLEMEN'S A,BIZ,,COLUMBIA RIVERKEEPER v. OREGON CATTLEMEN'S A
9-79-1900564,NA,9-79-1900564-2019-04-16,COLUMBIA RIVERKEEPER,NGO,OREGON CATTLEMEN'S A,BIZ,,COLUMBIA RIVERKEEPER v. OREGON CATTLEMEN'S A
9-81-9300033,NA,9-81-9300033-1993-01-13,DIOXIN ET AL,NGO,LONGVIEW,BIZ,,DIOXIN ET AL v. LONGVIEW
9-78-7300125,NA,9-78-7300125-1984-05-21,NATIONAL FISH AND WI,NGO,"BALE COUNTER, INC.",BIZ,,"NATIONAL FISH AND WI v. BALE COUNTER, INC."
9-7--9800217,NA,9-7--9800217-1998-06-01,NORTHERN ET AL,NGO,EQUINOX ET AL,BIZ,,NORTHERN ET AL v. EQUINOX ET AL
11-27-8400518,NA,11-27-8400518-1984-04-12,SAVE OUR DUNES,NGO,"PEGUES, LEIGH",BIZ,,"SAVE OUR DUNES v. PEGUES, LEIGH"
9-72-8701239,NA,9-72-8701239-1987-08-28,SIERRA ET AL,NGO,DOLE ET AL,BIZ,,SIERRA ET AL v. DOLE ET AL
9-72-0500205,NA,9-72-0500205-2005-10-31,CENTER FOR BIOLOGICA,NGO,QUINCY LIBRARY GROUP,CIVIC,,CENTER FOR BIOLOGICA v. QUINCY LIBRARY GROUP
9-72-0500205,NA,9-72-0500205-2005-10-31,CENTER FOR BIOLOGICA,NGO,QUINCY LIBRARY GROUP,CIVIC,,CENTER FOR BIOLOGICA v. QUINCY LIBRARY GROUP
11-26-7502343,NA,11-26-7502343-1975-12-31,ALABAMA CONSERVA,NGO,U.S. ARMY CORPS,FED,,ALABAMA CONSERVA v. U.S. ARMY CORPS
9-7--1500067,NA,9-7--1500067-2014-11-10,ALASKA WILDERNESS LE,NGO,JEWELL,FED,,ALASKA WILDERNESS LE v. JEWELL
9-77-1700047,NA,9-77-1700047-2017-04-10,ALLIANCE FOR THE WIL,NGO,MARTEN,FED,,ALLIANCE FOR THE WIL v. MARTEN
9-77-0800011,NA,9-77-0800011-2008-02-26,ALLIANCE FOR THE WIL,NGO,TIDWELL,FED,,ALLIANCE FOR THE WIL v. TIDWELL
9-81-2105202,NA,9-81-2105202-2021-03-22,CASCADE FOREST CONSE,NGO,UNITED STATES FOREST,FED,,CASCADE FOREST CONSE v. UNITED STATES FOREST
