CDD_ID_A,CDD_ID_D,CDD_ID_DATE,APPELLAN,APPELANT TYPE,APPELLEE,APPELEE TYPE,,
1-04-1502328,NA,1-04-1502328-2015-09-25,PUERTO RICO INDUSTRI,BIZ,UNITED STATES,FED,,PUERTO RICO INDUSTRI v. UNITED STATES
9-7--9800006,NA,9-7--9800006-1998-03-20,S&S,BIZ,USACE ET AL,FED,,S&S v. USACE ET AL
9-81-8300252,NA,9-81-8300252-1983-02-25,STANDARD ET AL,BIZ,USA,FED,,STANDARD ET AL v. USA
8-63-0200352,NA,8-63-0200352-2002-07-19,TITAN,BIZ,EPA,FED,,TITAN v. EPA
9-81-9201025,NA,9-81-9201025-1992-06-30,TRIDENT,BIZ,USA,FED,,TRIDENT v. USA
3-13-8503060,NA,3-13-8503060-1985-05-30,TURNER&NEWALL PL,BIZ,USA,FED,,TURNER&NEWALL PL v. USA
9-73-9100589,NA,9-73-9100589-1992-08-21,UNION OIL COMPANY OF,BIZ,UNITED STATES OF AME,FED,,UNION OIL COMPANY OF v. UNITED STATES OF AME
9-73-9400127,NA,9-73-9400127-1994-10-20,VISTA,BIZ,USA,FED,,VISTA v. USA
0-90-8801812,NA,0-90-8801812-1988-07-01,LLOYD MYERS CO,BIZ,LYNG,IND,,LLOYD MYERS CO v. LYNG
9-79-9406323,NA,9-79-9406323-1994-09-26,WESTERN,BIZ,GLICKMAN ET AL,IND,,WESTERN v. GLICKMAN ET AL
9-79-9406323,NA,9-79-9406323-1994-09-26,WESTERN ET AL,BIZ,GLICKMAN ET AL,IND,,WESTERN ET AL v. GLICKMAN ET AL
5-39-9100255,NA,5-39-9100255-1991-04-09,DOW,BIZ,CAMANCHE,LOC,,DOW v. CAMANCHE
8-64-8600867,NA,8-64-8600867-1986-08-26,AMER FARM BUREAU,BIZ,DEFENDERS,NGO,,AMER FARM BUREAU v. DEFENDERS
9-71-2100344,NA,9-71-2100344-2021-01-14,AMERICAN FARM BUREAU,BIZ,DEFENDERS OF WILDLIF,NGO,,AMERICAN FARM BUREAU v. DEFENDERS OF WILDLIF
9-72-1802785,NA,9-72-1802785-2018-10-16,AMERICAN FOREST RESO,BIZ,KLAMATH-SISKIYOU WIL,NGO,,AMERICAN FOREST RESO v. KLAMATH-SISKIYOU WIL
9-77-1900044,NA,9-77-1900044-2019-07-01,AMERICAN GAS ASSOCIA,BIZ,NORTHERN PLAINS RESO,NGO,,AMERICAN GAS ASSOCIA v. NORTHERN PLAINS RESO
0-90-2102317,NA,0-90-2102317-2021-08-31,AMERICAN PETROLEUM I,BIZ,FRIENDS OF THE EARTH,NGO,,AMERICAN PETROLEUM I v. FRIENDS OF THE EARTH
9-76-1800187,NA,9-76-1800187-2018-04-30,ANSCHUTZ EXPLORATION,BIZ,WESTERN WATERSHEDS P,NGO,,ANSCHUTZ EXPLORATION v. WESTERN WATERSHEDS P
9-76-1800187,NA,9-76-1800187-2018-04-30,ANSCHUTZ EXPLORATION,BIZ,WESTERN WATERSHEDS P,NGO,,ANSCHUTZ EXPLORATION v. WESTERN WATERSHEDS P
9-76-1800187,NA,9-76-1800187-2018-04-30,ANSCHUTZ EXPLORATION,BIZ,WESTERN WATERSHEDS P,NGO,,ANSCHUTZ EXPLORATION v. WESTERN WATERSHEDS P
9-76-1800187,NA,9-76-1800187-2018-04-30,BALLARD PETROLEUM HO,BIZ,WESTERN WATERSHEDS P,NGO,,BALLARD PETROLEUM HO v. WESTERN WATERSHEDS P
9-76-1800187,NA,9-76-1800187-2018-04-30,CHESAPEAKE EXPLORATI,BIZ,WESTERN WATERSHEDS P,NGO,,CHESAPEAKE EXPLORATI v. WESTERN WATERSHEDS P
9-76-1800187,NA,9-76-1800187-2018-04-30,CHESAPEAKE EXPLORATI,BIZ,WESTERN WATERSHEDS P,NGO,,CHESAPEAKE EXPLORATI v. WESTERN WATERSHEDS P
0-90-2102317,NA,0-90-2102317-2021-08-31,CHEVRON U.S.A. INC.,BIZ,FRIENDS OF THE EARTH,NGO,,CHEVRON U.S.A. INC. v. FRIENDS OF THE EARTH
9-73-2102507,NA,9-73-2102507-2021-03-23,"COMMUNITY BUILD, INC",BIZ,CENTER FOR BIOLOGICA,NGO,,"COMMUNITY BUILD, INC v. CENTER FOR BIOLOGICA"
0-90-0800764,NA,0-90-0800764-2008-12-04,CONSERVATION FORCE,BIZ,SAFARI CLUB INTERNAT,NGO,,CONSERVATION FORCE v. SAFARI CLUB INTERNAT
0-90-0800764,NA,0-90-0800764-2008-12-04,CONSERVATION FORCE,BIZ,SAFARI CLUB INTERNAT,NGO,,CONSERVATION FORCE v. SAFARI CLUB INTERNAT
9-79-0100640,NA,9-79-0100640-2001-05-03,INLAND PORTS AND NAV,BIZ,NATIONAL WILDLIFE FE,NGO,,INLAND PORTS AND NAV v. NATIONAL WILDLIFE FE
9-79-0100640,NA,9-79-0100640-2001-05-03,INLAND PORTS AND NAV,BIZ,NATIONAL WILDLIFE FE,NGO,,INLAND PORTS AND NAV v. NATIONAL WILDLIFE FE
9-79-0100640,NA,9-79-0100640-2001-05-03,INLAND PORTS AND NAV,BIZ,NATIONAL WILDLIFE FE,NGO,,INLAND PORTS AND NAV v. NATIONAL WILDLIFE FE
9-76-9400159,NA,9-76-9400159-1994-04-13,INTERMOUNTAIN ET,BIZ,PACIFIC ET AL,NGO,,INTERMOUNTAIN ET v. PACIFIC ET AL
9-81-1101759,NA,9-81-1101759-2011-10-21,KAISER ALUMINUM WASH,BIZ,SIERRA CLUB,NGO,,KAISER ALUMINUM WASH v. SIERRA CLUB
10-82-8400002,NA,10-82-8400002-1984-01-03,MOUNTAIN,BIZ,SIERRA ET AL,NGO,,MOUNTAIN v. SIERRA ET AL
9-76-1600083,NA,9-76-1600083-2016-02-25,NATIONAL CATTLEMEN'S,BIZ,WESTERN WATERSHEDS P,NGO,,NATIONAL CATTLEMEN'S v. WESTERN WATERSHEDS P
