fjc_ID,CIRCUIT,DISTRICT,OFFICE,DOCKET,FILEDATE,TERMDATE,PLT,PLT_typ,DEF,DEF_typ,DISP
9-75-9900603-1999-08-31-1,9,75,1,9900603,1999-08-31,2000-05-15,CENTER FOR BIOLOGICA,NGO,"BABBITT, ET AL",FED,6
9-73-0501149-2006-08-28-1,9,73,2,0501149,2006-08-28,2006-10-04,SANTA BARBARA CHANNELKEEPER,NGO,SANTA BARBARA POLO CLUB,OTHER,5
11-26-0100403-2001-02-13-1,11,26,3,0100403,2001-02-13,2006-01-17,"NATIONAL PARKS CONSE, ET AL",NGO,TVA,FED,14
9-77-9600021-1996-01-25-1,9,77,9,9600021,1996-01-25,1997-09-15,CABINET RESOURCES,NGO,"ASARCO, ET AL",BIZ,13
11-27-9100716-1991-06-27-1,11,27,3,9100716,1991-06-27,1992-03-17,NATIONAL ENVIROMENTAL,NGO,PHENIX CITY,LOC,5
0-90-1102000-2011-11-10-1,0,90,1,1102000,2011-11-10,2012-09-18,SIERRA CLUB,NGO,JACKSON,FED,14
5-41-0400374-2008-01-29-1,5,41,4,0400374,2008-01-29,2008-06-26,"SIERRA CLUB, ET AL",NGO,"JACOBS, ET AL",BIZ,14
9-71-0100637-2001-02-09-1,9,71,3,0100637,2001-02-09,2004-06-30,"NATURAL RESOURCES DE, ET AL",NGO,"EVANS, ET AL",IND,6
9-81-0501300-2005-07-22-1,9,81,2,0501300,2005-07-22,2007-01-08,FRIENDS OF THE SAN JUANS,NGO,WILLIAMS,FED,13
3-13-8704739-1987-07-30-1,3,13,2,8704739,1987-07-30,1987-10-27,PA ENVIRONMENTAL DEFENSE,NGO,PACKAGING CORP OF AMER,BIZ,14
9-78-1600179-2016-03-29-1,9,78,3,1600179,2016-03-29,2016-08-09,WESTERN WATERSHEDS PROJECTS,NGO,"RUHS, ET AL",FED,12
9-72-1101771-2011-07-05-1,9,72,2,1101771,2011-07-05,2013-09-05,CALIFORNIA SPORTFISHING PROTEC,NGO,"ALL STAR AUTO WRECKING, ET AL",BIZ,13
9-72-0901519-2009-08-26-1,9,72,1,0901519,2009-08-26,2009-10-14,SEQUOIA FORESTKEEPER,NGO,"EXLINE, ET AL",FED,12
9-71-1501482-2015-03-31-1,9,71,3,1501482,2015-03-31,2015-12-15,CALIFORNIA SPORTFISHING PROTEC,NGO,"PACIFIC STATES INDUSTRI, ET AL",BIZ,13
9-81-1900487-2019-04-03-1,9,81,2,1900487,2019-04-03,2021-10-06,"CENTER FOR BIOLOGICAL D, ET AL",NGO,"NATIONAL MARINE FISHERI, ET AL",FED,12
10-88-1900636-2019-09-06-1,10,88,2,1900636,2019-09-06,2021-07-07,"CENTER FOR BIOLOGICAL D, ET AL",NGO,"US DEPARTMENT OF THE IN, ET AL",FED,14
9-71-1301949-2013-04-29-1,9,71,3,1301949,2013-04-29,2014-01-02,CALIFORNIA RIVER WATCH,NGO,"UNI-TILE & MARBLE, INC",BIZ,12
9-70-0500261-2005-04-05-1,9,70,4,0500261,2005-04-05,2008-03-27,CENTER FOR BIOLOGICA,NGO,"HUD, ET AL",FED,6
2-07-2002118-2020-05-08-1,2,07,1,2002118,2020-05-08,2023-11-22,RARITAN BAYKEEPER INC.,NGO,"FAZTEC INDUSTRIES, INC., ET AL",BIZ,5
9-81-0202295-2002-11-12-1,9,81,2,0202295,2002-11-12,2003-08-19,"ID CONSERVATION LG, ET AL",NGO,"IANI, ET AL",FED,12
9-7--9000210-1990-05-30-1,9,7-,3,9000210,1990-05-30,1991-09-09,ALASKA SEA,NGO,INTERIOR DEP,STA,14
0-90-1901403-2019-05-15-1,0,90,1,1901403,2019-05-15,1900-01-01,"FRIENDS OF ANIMALS, ET AL",NGO,"U.S. FISH AND WILDLIFE , ET AL",FED,-8
10-82-9001837-1990-10-17-1,10,82,1,9001837,1990-10-17,1990-10-29,"GREATER YELLOWSTONE, ET AL",NGO,"CARGILL, ET AL",FED,0
9-78-7300128-2021-03-23-1,9,78,3,7300128,2021-03-23,1900-01-01,"WALKER RIVER PAIUTE TRI, ET AL",NGO,"WALKER RIVER PAIUTE TRI, ET AL",NGO,-8
0-90-1800283-2018-02-07-1,0,90,1,1800283,2018-02-07,2018-05-02,CONSERVATION LAW FOUNDATION,NGO,"ROSS, ET AL",IND,18
9-76-0900507-2009-10-05-1,9,76,4,0900507,2009-10-05,2011-12-19,"WESTERN WATERSHEDS PROJ, ET AL",NGO,"BUREAU OF LAND MANAGEME, ET AL",FED,14
3-12-9402614-1994-06-01-1,3,12,2,9402614,1994-06-01,1998-02-24,"CLEAN OCEAN ACTION, ET AL",NGO,"BROWNER, ET AL",FED,13
9-71-1705287-2017-09-12-1,9,71,4,1705287,2017-09-12,2019-10-28,CALIFORNIANS FOR ALTERNATIVES,NGO,"SCHNEIDER DOCK & INTERM, ET AL",BIZ,12
0-90-1201073-2012-06-29-1,0,90,1,1201073,2012-06-29,2012-09-25,CENTER FOR BIOLOGICAL DIVERSIT,NGO,"SALAZAR, ET AL",FED,6
0-90-0902089-2009-11-04-1,0,90,1,0902089,2009-11-04,2010-07-20,"SIERRA CLUB, ET AL",NGO,JACKSON,FED,3
1-01-9130077-1991-03-25-1,1,01,3,9130077,1991-03-25,1991-05-07,VALLEY CITIZENS,NGO,"RICE, ET AL",IND,6
9-79-1202271-2012-12-17-1,9,79,3,1202271,2012-12-17,2015-04-20,"LEAGUE OF WILDERNESS DE, ET AL",NGO,"CONNAUGHTON, ET AL",BIZ,11
9-81-0402007-2004-09-23-1,9,81,2,0402007,2004-09-23,2005-08-31,PUGET SOUNDKEEPER ALLIANCE,NGO,SNOHOMISH COUNTY OF,LOC,13
0-90-1201607-2015-04-28-1,0,90,1,1201607,2015-04-28,2016-01-21,"AIR ALLIANCE HOUSTON, ET AL",NGO,"JACKSON, ET AL",FED,5
10-84-9800322-1998-03-18-1,10,84,1,9800322,1998-03-18,1998-12-14,"SOUTHWEST CENTER FOR, ET AL",NGO,DOI,FED,12
2-09-9300478-1993-06-01-1,2,09,1,9300478,1993-06-01,1993-07-06,ATLANTIC STATES,NGO,"VAL-KRO, INC.",BIZ,13
9-70-9700519-1997-08-14-1,9,70,4,9700519,1997-08-14,1998-06-11,"SOUTHWEST CENTER, ET AL",NGO,"ROGERS, ET AL",FED,0
9-79-9201550-1992-12-08-1,9,79,3,9201550,1992-12-08,1994-02-10,OR NATURAL RESOURCES,NGO,HARRELL,FED,6
8-64-9100374-1991-05-20-1,8,64,4,9100374,1991-05-20,1992-06-23,"CITIZENS FOR BETTER, ET AL",NGO,"MINNEAPOLIS, CITY OF",LOC,13
9-70-9600062-1996-01-05-1,9,70,2,9600062,1996-01-05,1996-08-12,DON'T WASTE ARIZONA,NGO,VERCO MANUFACTURING,BIZ,12
9-71-9601178-1996-03-29-1,9,71,3,9601178,1996-03-29,1996-06-21,S.F. BAYKEEPER,NGO,ASTORIA METALS INC.,BIZ,14
9-81-0401331-2004-06-04-1,9,81,2,0401331,2004-06-04,2007-06-25,NORTHWEST ECOSYSTEM ALLIANCE,NGO,NORTON,FED,17
1-01-1210902-2012-05-18-1,1,01,1,1210902,2012-05-18,2013-01-23,"SIERRA CLUB, INC., ET AL",NGO,"UNITED STATES ENVIRONME, ET AL",FED,12
3-11-8900071-1989-02-21-1,3,11,1,8900071,1989-02-21,1989-04-11,NATURAL RESOURCES DEFENSE,NGO,OCCIDENTAL CHEMICAL CRP.,BIZ,5
9-71-0603556-2006-06-02-1,9,71,3,0603556,2006-06-02,2007-02-16,NORTHERN CALIFORNIA RIVER WATC,NGO,"PACIFIC LUMBER COMPANY, INC.",BIZ,16
